Robot{serijskiBroj=Serijski broj 29, tip=Cistacki, snaga=2, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id89, proizvodjac=Proizvodjac89, godinaProizvodnje=2021, snaga=3}, baterija=Motor{id=Id90, proizvodjac=Proizvodjac90, godinaProizvodnje=2022, kapacitet=33}} OSTECEN
Robot{serijskiBroj=Serijski broj 5, tip=Montazni, snaga=5, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id17, proizvodjac=Proizvodjac17, godinaProizvodnje=2024, snaga=8}, baterija=Motor{id=Id18, proizvodjac=Proizvodjac18, godinaProizvodnje=2020, kapacitet=54}} OSTECEN
Robot{serijskiBroj=Serijski broj 10, tip=Montazni, snaga=7, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id32, proizvodjac=Proizvodjac32, godinaProizvodnje=2023, snaga=5}, baterija=Motor{id=Id33, proizvodjac=Proizvodjac33, godinaProizvodnje=2024, kapacitet=83}} OSTECEN
Robot{serijskiBroj=Serijski broj 35, tip=Istrazivacki, snaga=9, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id107, proizvodjac=Proizvodjac107, godinaProizvodnje=2024, snaga=7}, baterija=Motor{id=Id108, proizvodjac=Proizvodjac108, godinaProizvodnje=2022, kapacitet=4}} OSTECEN
Robot{serijskiBroj=Serijski broj 44, tip=Istrazivacki, snaga=4, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id134, proizvodjac=Proizvodjac134, godinaProizvodnje=2020, snaga=6}, baterija=Motor{id=Id135, proizvodjac=Proizvodjac135, godinaProizvodnje=2022, kapacitet=95}} OSTECEN
Robot{serijskiBroj=Serijski broj 37, tip=Istrazivacki, snaga=3, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id113, proizvodjac=Proizvodjac113, godinaProizvodnje=2024, snaga=3}, baterija=Motor{id=Id114, proizvodjac=Proizvodjac114, godinaProizvodnje=2023, kapacitet=5}} OSTECEN
Robot{serijskiBroj=Serijski broj 18, tip=Cistacki, snaga=7, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id56, proizvodjac=Proizvodjac56, godinaProizvodnje=2020, snaga=6}, baterija=Motor{id=Id57, proizvodjac=Proizvodjac57, godinaProizvodnje=2020, kapacitet=85}} OSTECEN
Robot{serijskiBroj=Serijski broj 42, tip=Istrazivacki, snaga=10, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id128, proizvodjac=Proizvodjac128, godinaProizvodnje=2020, snaga=8}, baterija=Motor{id=Id129, proizvodjac=Proizvodjac129, godinaProizvodnje=2021, kapacitet=90}} OSTECEN
Robot{serijskiBroj=Serijski broj 6, tip=Montazni, snaga=3, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id20, proizvodjac=Proizvodjac20, godinaProizvodnje=2022, snaga=2}, baterija=Motor{id=Id21, proizvodjac=Proizvodjac21, godinaProizvodnje=2021, kapacitet=82}} OSTECEN
Robot{serijskiBroj=Serijski broj 35, tip=Istrazivacki, snaga=9, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id107, proizvodjac=Proizvodjac107, godinaProizvodnje=2024, snaga=7}, baterija=Motor{id=Id108, proizvodjac=Proizvodjac108, godinaProizvodnje=2022, kapacitet=4}} OSTECEN
Robot{serijskiBroj=Serijski broj 41, tip=Istrazivacki, snaga=1, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id125, proizvodjac=Proizvodjac125, godinaProizvodnje=2023, snaga=10}, baterija=Motor{id=Id126, proizvodjac=Proizvodjac126, godinaProizvodnje=2023, kapacitet=7}} OSTECEN
Robot{serijskiBroj=Serijski broj 25, tip=Cistacki, snaga=2, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id77, proizvodjac=Proizvodjac77, godinaProizvodnje=2020, snaga=3}, baterija=Motor{id=Id78, proizvodjac=Proizvodjac78, godinaProizvodnje=2022, kapacitet=100}} OSTECEN
Robot{serijskiBroj=Serijski broj 44, tip=Istrazivacki, snaga=4, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id134, proizvodjac=Proizvodjac134, godinaProizvodnje=2020, snaga=6}, baterija=Motor{id=Id135, proizvodjac=Proizvodjac135, godinaProizvodnje=2022, kapacitet=95}} OSTECEN
Robot{serijskiBroj=Serijski broj 2, tip=Montazni, snaga=8, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id8, proizvodjac=Proizvodjac8, godinaProizvodnje=2021, snaga=9}, baterija=Motor{id=Id9, proizvodjac=Proizvodjac9, godinaProizvodnje=2021, kapacitet=35}} OSTECEN
Robot{serijskiBroj=Serijski broj 18, tip=Cistacki, snaga=7, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id56, proizvodjac=Proizvodjac56, godinaProizvodnje=2020, snaga=6}, baterija=Motor{id=Id57, proizvodjac=Proizvodjac57, godinaProizvodnje=2020, kapacitet=85}} OSTECEN
Robot{serijskiBroj=Serijski broj 12, tip=Montazni, snaga=10, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id38, proizvodjac=Proizvodjac38, godinaProizvodnje=2022, snaga=9}, baterija=Motor{id=Id39, proizvodjac=Proizvodjac39, godinaProizvodnje=2020, kapacitet=50}} OSTECEN
Robot{serijskiBroj=Serijski broj 29, tip=Cistacki, snaga=2, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id89, proizvodjac=Proizvodjac89, godinaProizvodnje=2021, snaga=3}, baterija=Motor{id=Id90, proizvodjac=Proizvodjac90, godinaProizvodnje=2022, kapacitet=33}} OSTECEN
Robot{serijskiBroj=Serijski broj 41, tip=Istrazivacki, snaga=1, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id125, proizvodjac=Proizvodjac125, godinaProizvodnje=2023, snaga=10}, baterija=Motor{id=Id126, proizvodjac=Proizvodjac126, godinaProizvodnje=2023, kapacitet=7}} OSTECEN
Robot{serijskiBroj=Serijski broj 17, tip=Cistacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id53, proizvodjac=Proizvodjac53, godinaProizvodnje=2024, snaga=1}, baterija=Motor{id=Id54, proizvodjac=Proizvodjac54, godinaProizvodnje=2022, kapacitet=54}} OSTECEN
Robot{serijskiBroj=Serijski broj 40, tip=Istrazivacki, snaga=3, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id122, proizvodjac=Proizvodjac122, godinaProizvodnje=2020, snaga=1}, baterija=Motor{id=Id123, proizvodjac=Proizvodjac123, godinaProizvodnje=2020, kapacitet=39}} OSTECEN
Robot{serijskiBroj=Serijski broj 12, tip=Montazni, snaga=10, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id38, proizvodjac=Proizvodjac38, godinaProizvodnje=2022, snaga=9}, baterija=Motor{id=Id39, proizvodjac=Proizvodjac39, godinaProizvodnje=2020, kapacitet=50}} OSTECEN
Robot{serijskiBroj=Serijski broj 43, tip=Istrazivacki, snaga=10, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id131, proizvodjac=Proizvodjac131, godinaProizvodnje=2020, snaga=4}, baterija=Motor{id=Id132, proizvodjac=Proizvodjac132, godinaProizvodnje=2020, kapacitet=76}} OSTECEN
Robot{serijskiBroj=Serijski broj 31, tip=Istrazivacki, snaga=2, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id95, proizvodjac=Proizvodjac95, godinaProizvodnje=2020, snaga=5}, baterija=Motor{id=Id96, proizvodjac=Proizvodjac96, godinaProizvodnje=2021, kapacitet=75}} OSTECEN
Robot{serijskiBroj=Serijski broj 8, tip=Montazni, snaga=4, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id26, proizvodjac=Proizvodjac26, godinaProizvodnje=2020, snaga=3}, baterija=Motor{id=Id27, proizvodjac=Proizvodjac27, godinaProizvodnje=2022, kapacitet=18}} OSTECEN
Robot{serijskiBroj=Serijski broj 12, tip=Montazni, snaga=10, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id38, proizvodjac=Proizvodjac38, godinaProizvodnje=2022, snaga=9}, baterija=Motor{id=Id39, proizvodjac=Proizvodjac39, godinaProizvodnje=2020, kapacitet=50}} OSTECEN
Robot{serijskiBroj=Serijski broj 35, tip=Istrazivacki, snaga=9, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id107, proizvodjac=Proizvodjac107, godinaProizvodnje=2024, snaga=7}, baterija=Motor{id=Id108, proizvodjac=Proizvodjac108, godinaProizvodnje=2022, kapacitet=4}} OSTECEN
Robot{serijskiBroj=Serijski broj 27, tip=Cistacki, snaga=10, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id83, proizvodjac=Proizvodjac83, godinaProizvodnje=2023, snaga=8}, baterija=Motor{id=Id84, proizvodjac=Proizvodjac84, godinaProizvodnje=2021, kapacitet=55}} OSTECEN
Robot{serijskiBroj=Serijski broj 33, tip=Istrazivacki, snaga=6, autonomija=100, visina=1, senzor=null, motor=Motor{id=Id101, proizvodjac=Proizvodjac101, godinaProizvodnje=2024, snaga=4}, baterija=Motor{id=Id102, proizvodjac=Proizvodjac102, godinaProizvodnje=2020, kapacitet=60}} OSTECEN
Robot{serijskiBroj=Serijski broj 32, tip=Istrazivacki, snaga=10, autonomija=100, visina=2, senzor=null, motor=Motor{id=Id98, proizvodjac=Proizvodjac98, godinaProizvodnje=2024, snaga=10}, baterija=Motor{id=Id99, proizvodjac=Proizvodjac99, godinaProizvodnje=2020, kapacitet=70}} OSTECEN
Robot{serijskiBroj=Serijski broj 8, tip=Montazni, snaga=4, autonomija=100, visina=3, senzor=null, motor=Motor{id=Id26, proizvodjac=Proizvodjac26, godinaProizvodnje=2020, snaga=3}, baterija=Motor{id=Id27, proizvodjac=Proizvodjac27, godinaProizvodnje=2022, kapacitet=18}} OSTECEN
